Property Type,Bed,Bath,Area,Location,Price,,,,,,,,,,,
Apartment,4,4,1850,Sector 11," 11,000,000",,,,,,,,,,,
Apartment,3,3,1650,Sector 13," 11,000,000",,,,,,,,,,,
Apartment,4,3,1600,Sector 10," 11,000,000",,,,,,,,,,,
Apartment,3,4,1555,Sector 5," 11,000,000",,,,,,,,,,,
Apartment,3,5,1650,Sector 9," 11,000,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 4," 11,000,000",,,,,,,,,,,
Apartment,3,3,1475,Sector 10," 11,000,000",,,,,,,,,,,
Apartment,3,3,1472,Sector 9," 11,000,000",,,,,,,,,,,
Apartment,3,4,1376,Sector 7," 11,000,000",,,,,,,,,,,
Apartment,3,3,1513,Sector 13," 11,000,000",,,,,,,,,,,
Apartment,3,3,1600,Sector 4," 11,000,000",,,,,,,,,,,
Apartment,3,3,1650,Sector 11," 11,000,000",,,,,,,,,,,
Apartment,3,3,1552,Sector 13," 11,000,000",,,,,,,,,,,
Apartment,3,4,1550,Sector 10," 11,000,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 5," 11,000,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 4," 11,000,000",,,,,,,,,,,
Apartment,3,3,1470,Sector 9," 11,000,000",,,,,,,,,,,
Apartment,3,4,1800,Sector 12," 11,000,000",,,,,,,,,,,
Apartment,3,3,1472,Sector 10," 11,000,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 10," 11,000,000",,,,,,,,,,,
Apartment,4,4,1700,Sector 12," 11,050,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 11," 11,160,000",,,,,,,,,,,
Apartment,3,3,1345,Sector 11," 11,200,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 7," 11,250,000",,,,,,,,,,,
Apartment,3,3,1600,Sector 7," 11,500,000",,,,,,,,,,,
Apartment,3,3,1515,Sector 13," 11,500,000",,,,,,,,,,,
Apartment,3,3,1950,Sector 12," 11,500,000",,,,,,,,,,,
Apartment,3,3,1587,Sector 10," 11,500,000",,,,,,,,,,,
Apartment,3,4,1443,Sector 12," 11,500,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 4," 11,500,000",,,,,,,,,,,
Apartment,3,4,1900,Sector 10," 11,500,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 13," 11,500,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 9," 11,500,000",,,,,,,,,,,
Apartment,3,4,1450,Sector 1," 11,500,000",,,,,,,,,,,
Apartment,3,4,1810,Sector 4," 11,500,000",,,,,,,,,,,
Apartment,4,5,1800,Sector 14," 11,500,000",,,,,,,,,,,
Apartment,3,3,1664,Sector 11," 11,648,000",,,,,,,,,,,
Apartment,3,4,1472,Sector 9," 11,700,000",,,,,,,,,,,
Apartment,3,3,2130,Sector 10," 11,715,000",,,,,,,,,,,
Apartment,3,4,1650,Sector 12," 11,725,000",,,,,,,,,,,
Apartment,3,4,1760,Sector 4," 11,800,000",,,,,,,,,,,
Apartment,3,3,1558,Sector 13," 11,800,000",,,,,,,,,,,
Apartment,3,3,1580,Sector 12," 11,900,000",,,,,,,,,,,
Apartment,3,3,1575,Sector 7," 12,000,000",,,,,,,,,,,
Apartment,3,3,1557,Sector 13," 12,000,000",,,,,,,,,,,
Apartment,3,4,1394,Sector 13," 12,000,000",,,,,,,,,,,
Apartment,3,4,1514,Sector 12," 12,000,000",,,,,,,,,,,
Apartment,4,4,2100,Sector 10," 12,000,000",,,,,,,,,,,
Apartment,3,4,1660,Sector 11," 12,000,000",,,,,,,,,,,
Apartment,3,4,1600,Sector 13," 12,000,000",,,,,,,,,,,
Apartment,3,4,1560,Sector 11," 12,000,000",,,,,,,,,,,
Apartment,3,4,1380,Sector 3," 12,000,000",,,,,,,,,,,
Apartment,3,4,1750,Sector 5," 12,000,000",,,,,,,,,,,
Apartment,3,3,1000,Sector 10," 12,000,000",,,,,,,,,,,
Apartment,3,4,2033,Sector 10," 12,000,000",,,,,,,,,,,
Apartment,3,3,1415,Sector 3," 12,000,000",,,,,,,,,,,
Apartment,3,5,1900,Sector 10," 12,000,000",,,,,,,,,,,
Apartment,3,3,1725,Sector 10," 12,000,000",,,,,,,,,,,
Apartment,3,4,1500,Sector 7," 12,000,000",,,,,,,,,,,
Apartment,3,4,1650,Sector 12," 12,000,000",,,,,,,,,,,
Apartment,3,2,1750,Sector 10," 12,000,000",,,,,,,,,,,
Apartment,3,3,1760,Sector 4," 12,000,000",,,,,,,,,,,
Apartment,5,5,1800,Sector 13," 12,000,000",,,,,,,,,,,
Apartment,3,4,1650,Sector 12," 12,300,000",,,,,,,,,,,
Apartment,3,4,1895,Sector 5," 12,317,500",,,,,,,,,,,
Apartment,3,3,1650,Sector 9," 12,500,000",,,,,,,,,,,
Apartment,3,3,1707,Sector 4," 12,500,000",,,,,,,,,,,
Apartment,3,3,1750,Sector 12," 12,500,000",,,,,,,,,,,
Apartment,3,3,1415,Sector 3," 12,500,000",,,,,,,,,,,
Apartment,3,3,1523,Sector 3," 12,500,000",,,,,,,,,,,
Apartment,3,3,1430,Sector 3," 12,500,000",,,,,,,,,,,
Apartment,3,4,1600,Sector 5," 12,500,000",,,,,,,,,,,
Apartment,2,3,1615,Sector 10," 12,500,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 14," 12,500,000",,,,,,,,,,,
Apartment,3,4,1600,Sector 5," 12,500,000",,,,,,,,,,,
Apartment,3,4,1686,Sector 7," 12,500,000",,,,,,,,,,,
Apartment,3,4,1686,Sector 7," 12,500,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 6," 12,500,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 7," 12,500,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 10," 12,750,000",,,,,,,,,,,
Apartment,3,4,1865,Sector 6,"12,800,000",,,,,,,,,,,
